
映像名称                       PID 会话名              会话#       内存使用 
IAStorDataMgrSvc.exe         19720 Services                   0    119,360 K
SgrmBroker.exe               19896 Services                   0      6,424 K
vsvnjobsvc.exe               20096 Services                   0      9,208 K
svchost.exe                  20160 Services                   0     11,120 K
svchost.exe                  20264 Console                    1     20,604 K
AUEPUF.exe                   17416 Console                    1      9,140 K
jucheck.exe                  16732 Console                    1     15,036 K
WmiPrvSE.exe                  5908 Services                   0     10,216 K
Video.UI.exe                 14732 Console                    1     12,608 K
RuntimeBroker.exe            11268 Console                    1      7,232 K
WindowsInternal.Composabl    11224 Console                    1     55,428 K
SunloginClient.exe           17220 Console                    1    208,900 K
chrome.exe                   17652 Console                    1    121,456 K
SogouCloud.exe               16616 Console                    1     36,920 K
chrome.exe                   19132 Console                    1     94,808 K
chrome.exe                    5568 Console                    1     20,600 K
chrome.exe                   15656 Console                    1    130,960 K
svchost.exe                  18916 Services                   0      7,924 K
wps.exe                       4312 Console                    1    156,908 K
et.exe                       17744 Console                    1     28,836 K
splwow64.exe                 21152 Console                    1     11,428 K
promecefpluginhost.exe       21328 Console                    1     80,360 K
wpspdf.exe                   13584 Console                    1    226,368 K
wps.exe                      18868 Console                    1     41,808 K
wps.exe                      13168 Console                    1     57,976 K
wps.exe                      13176 Console                    1     70,724 K
chrome.exe                   20952 Console                    1     95,412 K
chrome.exe                    9260 Console                    1     83,560 K
chrome.exe                   16496 Console                    1     77,476 K
svchost.exe                   2544 Services                   0     10,772 K
svchost.exe                  21132 Services                   0     11,328 K
chrome.exe                   21904 Console                    1     54,896 K
pycharm64.exe                12344 Console                    1  1,208,464 K
fsnotifier64.exe             14868 Console                    1      4,200 K
conhost.exe                  22896 Console                    1     11,048 K
python.exe                   24948 Console                    1     10,016 K
conhost.exe                  21708 Console                    1     11,160 K
chrome.exe                    2060 Console                    1    131,720 K
chrome.exe                   10228 Console                    1     63,628 K
chrome.exe                   20336 Console                    1     61,848 K
chrome.exe                   21788 Console                    1    102,244 K
chrome.exe                    8576 Console                    1     82,032 K
audiodg.exe                  25312 Services                   0     44,620 K
chrome.exe                   15572 Console                    1     81,596 K
chrome.exe                   11112 Console                    1     79,580 K
ApplicationFrameHost.exe     20468 Console                    1     35,792 K
chrome.exe                   23168 Console                    1     69,388 K
ChsIME.exe                   23104 Console                    1     16,436 K
fotiaoqiang.exe              16772 Console                    1     36,784 K
chrome.exe                   14356 Console                    1     95,128 K
chrome.exe                    1628 Console                    1     20,840 K
promecefpluginhost.exe       22356 Console                    1     28,132 K
chrome.exe                   18040 Console                    1     51,764 K
chrome.exe                    8568 Console                    1     22,868 K
Microsoft.Photos.exe         17548 Console                    1     34,364 K
RuntimeBroker.exe            10420 Console                    1     32,468 K
pacjsworker.exe              14820 Services                   0      8,084 K
wwbizsrv.exe                 12132 Services                   0     11,944 K
MusNotifyIcon.exe             8748 Console                    1     13,444 K
SearchProtocolHost.exe       13276 Services                   0     11,860 K
SGTool.exe                   14264 Console                    1     36,540 K
WmiPrvSE.exe                 17128 Services                   0     42,492 K
WmiApSrv.exe                 22720 Services                   0      8,956 K
SearchFilterHost.exe         17752 Services                   0      9,784 K
explorer.exe                 21600 Console                    1     85,620 K
smartscreen.exe               9856 Console                    1     23,176 K
cmd.exe                      17496 Console                    1      4,256 K
conhost.exe                  24988 Console                    1     28,288 K
tasklist.exe                 25108 Console                    1      8,800 K
